Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
gel aloe e vera;BRL;30;200%;0%;Alto;100;0,44;1,04;;;;;;30;30;30;40;30;20;30;20;10;10;30;30
gel puro de babosa;BRL;70;57%;120%;Alto;100;0,61;1,1;;;;;;50;70;30;50;50;50;110;70;50;70;70;110
gel da aloe vera;BRL;20;100%;0%;Alto;100;0,42;0,96;;;;;;40;30;10;30;30;20;20;20;10;10;10;20
leite cremoso corporal livealoe;BRL;30;0%;33%;Alto;100;0,49;1,76;;;;;;10;40;20;30;30;20;30;30;30;40;70;40
gel neutro aloe vera;BRL;10;0%;-50%;Alto;100;0,44;0,92;;;;;;20;20;10;20;10;20;20;20;10;10;10;10
gel de babosa 100 natural;BRL;70;89%;240%;Alto;99;0,36;1,04;;;;;;70;70;50;40;40;50;70;70;70;90;90;170
balsamo de lavanda livealoe;BRL;20;-33%;100%;Alto;97;0,31;0,68;;;;;;30;10;40;10;20;30;10;20;20;30;20;20
base aloe vera;BRL;10;0%;0%;Alto;100;;;;;;;;10;10;10;10;10;10;10;0;10;10;10;10
balsamo de lavanda;BRL;30;0%;100%;Alto;100;0,32;1,36;;;;;;10;20;20;20;10;10;20;110;30;20;30;20
sinergia serena;BRL;10;-50%;-50%;Alto;100;0,18;1,04;;;;;;10;20;20;10;10;20;10;10;10;20;10;10
sabonete higienizante livealoe;BRL;20;0%;-33%;Alto;100;0,3;0,93;;;;;;20;40;10;20;20;10;10;20;20;20;20;20
óleo aloe vera;BRL;320;-19%;-33%;Alto;100;0,3;0,89;;;;;;390;260;210;390;320;260;320;260;260;320;320;260
balsamo de geranio;BRL;20;0%;100%;Alto;100;0,44;1,13;;;;;;20;10;20;30;20;40;30;20;10;20;20;20
aloe vera em gel;BRL;260;0%;-19%;Alto;100;0,47;1,06;;;;;;260;320;260;320;210;260;260;260;210;260;170;260
aloe vera produtos naturais;BRL;20;-50%;-50%;Alto;100;0,62;1,11;;;;;;20;20;20;20;20;30;10;20;20;20;20;10
sinergia criativa;BRL;20;0%;-33%;Alto;80;0,22;0,93;;;;;;20;30;20;20;10;30;20;20;10;20;10;20
aloe vera comprar gel;BRL;10;100%;100%;Alto;100;0,78;1,94;;;;;;20;10;20;10;10;10;10;10;10;10;10;20
óleo de aloe vera preço;BRL;30;-50%;-80%;Alto;100;;;;;;;;90;50;20;50;40;20;20;20;20;20;20;10
sabonete flor de aloe;BRL;20;0%;0%;Alto;100;0,28;1,17;;;;;;20;30;10;20;30;30;20;30;20;20;20;20
aloe vera organica;BRL;10;-50%;0%;Alto;100;0,24;1,1;;;;;;20;10;10;10;10;10;10;10;10;20;10;10
aloe e vera em gel;BRL;20;-67%;-50%;Alto;100;0,46;0,98;;;;;;20;30;20;30;10;20;10;10;20;30;10;10
qual o melhor gel de aloe vera;BRL;50;0%;0%;Alto;100;0,45;0,85;;;;;;30;50;40;50;40;50;40;70;50;50;40;50
agua de aloe nutritiva;BRL;20;-50%;-67%;Alto;100;0,16;0,56;;;;;;20;20;30;20;10;20;30;10;20;20;20;10
aloe vera oleo;BRL;90;-22%;-50%;Alto;100;0,44;0,98;;;;;;140;90;70;140;70;90;90;90;90;90;90;70
oleo essencial babosa;BRL;20;100%;-50%;Alto;94;;;;;;;;20;10;10;10;20;10;20;20;40;10;20;20
shampoo com aloe vera;BRL;90;0%;22%;Alto;100;0,49;1,32;;;;;;70;90;70;110;90;90;90;90;140;110;90;110
condicionador aloe vera;BRL;30;0%;50%;Alto;100;0,46;1,33;;;;;;20;10;30;30;10;30;30;40;20;30;20;30
puro aloe;BRL;10;0%;0%;Alto;100;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
aloe vera comprar;BRL;320;-19%;-71%;Alto;100;0,59;1,5;;;;;;590;390;320;480;320;320;320;320;260;260;210;210
hidratante corporal com aloe vera;BRL;50;75%;0%;Alto;100;0,82;2,17;;;;;;50;40;70;70;70;50;50;40;50;40;70;70
hidratante corporal aloe vera;BRL;70;0%;-67%;Alto;100;0,71;2,31;;;;;;110;110;90;90;90;90;70;50;50;30;20;30
oleo precioso livealoe;BRL;30;-25%;50%;Alto;100;0,38;1,18;;;;;;20;20;30;20;20;30;20;20;40;40;10;30
agua biologica livealoe;BRL;20;0%;0%;Alto;100;0,57;1,54;;;;;;20;50;20;20;40;20;30;10;10;20;20;20
reparador de pontas natural;BRL;90;0%;57%;Alto;100;0,42;0,95;;;;;;70;70;70;90;70;110;90;90;70;110;110;110
óleo essencial de limão siciliano benefícios;BRL;260;-33%;-64%;Médio;62;0,33;1,01;;;;;;390;390;260;390;390;320;210;170;210;210;170;140
benefícios do óleo essencial de limão siciliano;BRL;210;-35%;-19%;Alto;77;0,34;1,01;;;;;;170;170;140;170;170;210;170;260;260;260;210;170
oleo essencial de laranja doce na pele;BRL;20;-50%;-50%;Baixo;32;;;;;;;;20;30;10;20;20;20;20;20;20;20;20;10
benefícios do óleo essencial limão siciliano;BRL;20;0%;∞;Alto;75;0,38;0,49;;;;;;0;0;0;0;0;30;30;40;30;30;40;30
oleo essencial de laranja doce no cabelo;BRL;20;0%;0%;Médio;58;;;;;;;;20;20;20;10;20;30;40;30;20;20;10;20
óleo de semente de uva puro;BRL;210;-19%;-34%;Alto;100;0,21;0,68;;;;;;210;260;140;170;170;260;260;210;260;260;210;210
óleo essencial limão siciliano benefícios;BRL;480;175%;49%;Alto;97;0,33;1,02;;;;;;590;320;480;590;390;480;260;320;390;320;880;880
óleo de uva puro;BRL;90;0%;0%;Alto;100;0,27;0,65;;;;;;110;110;50;70;70;90;110;90;110;110;90;110
oleo essencial de laranja doce para pele;BRL;30;100%;-50%;Alto;100;;;;;;;;30;30;20;20;10;30;50;40;30;10;20;20
oleo essencial de limão siciliano;BRL;2400;-21%;-34%;Alto;100;0,35;0,86;;;;;;2400;2400;1900;2400;1900;2900;2400;2900;2400;2400;2400;1900
óleo essencial de copaíba emocional;BRL;70;40%;0%;Alto;98;0,34;1,59;;;;;;90;70;50;70;70;70;70;70;70;50;50;70
benefícios do óleo de limão siciliano;BRL;140;21%;21%;Alto;86;0,32;1,06;;;;;;140;110;140;140;140;170;140;170;170;140;140;170
oleo puro de semente de uva;BRL;20;-33%;-33%;Alto;100;0,26;0,65;;;;;;20;20;10;20;20;10;40;20;10;30;20;20
óleo essencial de limão siciliano pode tomar;BRL;720;0%;-18%;Alto;95;0,35;0,84;;;;;;880;590;880;880;720;720;880;720;720;590;590;590
oleo essencial laranja doce pele;BRL;10;100%;0%;Alto;84;;;;;;;;10;20;10;20;10;10;10;20;10;10;10;20
limão siciliano oleo essencial beneficios;BRL;140;55%;21%;Alto;93;0,37;1,3;;;;;;140;110;110;140;110;140;50;110;110;110;170;170
alecrim óleo essencial;BRL;720;0%;-18%;Alto;100;0,2;0,71;;;;;;880;720;720;720;720;880;880;880;720;720;880;720
oleo essencial laranja doce cabelo;BRL;20;100%;0%;Alto;83;;;;;;;;20;20;10;20;10;20;20;30;10;10;10;20
óleo essencial alecrim;BRL;3600;0%;-19%;Alto;100;0,29;1,04;;;;;;3600;2900;2900;2900;2900;3600;4400;3600;3600;2900;2900;2900
óleo essencial de alecrim;BRL;18100;0%;-18%;Alto;100;0,29;0,78;;;;;;18100;14800;14800;14800;14800;18100;22200;18100;18100;14800;14800;14800
óleo essencial de laranja doce;BRL;2900;0%;-19%;Alto;100;0,27;0,82;;;;;;3600;3600;3600;3600;2900;3600;3600;2900;2900;2900;2900;2900
laranja doce;BRL;1600;0%;0%;Alto;68;0,35;1,18;;;;;;1600;1300;1300;1300;1300;1600;1600;1600;1600;1600;1600;1600
quais os beneficios do oleo essencial de limao siciliano;BRL;20;0%;-50%;Alto;89;0,18;0,49;;;;;;10;20;10;10;10;10;10;40;40;10;20;10
oleo essencial de laranja para pele;BRL;20;100%;-33%;Alto;94;;;;;;;;20;20;10;10;10;20;20;20;20;10;10;20
beneficios oleo essencial de limao siciliano;BRL;40;-20%;0%;Alto;78;0,28;0,52;;;;;;30;30;30;40;40;30;40;40;30;50;50;40
óleo de laranja doce;BRL;880;-18%;-18%;Alto;100;0,34;0,74;;;;;;880;880;880;1000;1000;1000;1000;1000;880;880;720;720
óleo essencial laranja doce;BRL;2900;21%;21%;Alto;100;0,27;0,86;;;;;;2400;2400;2400;2400;2400;2900;3600;3600;2900;2400;2900;2900
limão siciliano óleo essencial;BRL;590;0%;0%;Alto;100;0,38;0,93;;;;;;590;480;590;720;720;720;720;720;720;590;590;590
beneficios oleo essencial limao siciliano;BRL;90;-22%;0%;Alto;79;0,35;1,35;;;;;;70;70;70;70;70;90;90;110;90;90;70;70
laranja doce óleo essencial;BRL;880;-18%;-33%;Alto;100;0,24;0,79;;;;;;880;880;880;720;720;1000;1000;1300;880;720;590;590
óleo essencial de laranja doce como usar na pele;BRL;40;0%;∞;Alto;83;;;;;;;;0;0;20;10;20;50;70;70;40;70;90;70
oleo semente de uva puro;BRL;90;-18%;-18%;Alto;100;0,25;0,75;;;;;;90;70;40;50;110;70;90;90;110;110;140;90
alecrim óleo;BRL;110;22%;0%;Alto;99;0,31;0,64;;;;;;110;110;90;70;90;140;90;90;110;90;90;110
óleo laranja doce;BRL;390;0%;0%;Alto;100;0,28;0,66;;;;;;390;390;320;390;390;480;480;480;390;390;390;390
óleo essencial de laranja;BRL;2900;0%;-19%;Alto;100;0,28;0,81;;;;;;3600;2900;2900;2400;1900;3600;3600;3600;2900;2900;3600;2900
essencial de alecrim;BRL;70;29%;29%;Alto;100;0,23;0,68;;;;;;70;70;70;50;70;90;90;90;90;70;90;90
óleo limão siciliano;BRL;480;0%;0%;Alto;100;0,38;0,72;;;;;;480;390;480;480;390;480;480;480;480;480;480;480
óleo essencial laranja;BRL;880;0%;-18%;Alto;100;0,33;0,99;;;;;;880;880;880;590;720;1000;1000;1000;880;720;880;720
óleo de alecrim essencial;BRL;110;27%;27%;Alto;100;0,32;0,71;;;;;;90;90;90;110;90;110;140;110;90;110;110;140
oleo de limão siciliano beneficios;BRL;90;33%;-64%;Alto;88;;;;;;;;110;170;210;140;70;70;50;40;30;30;30;40
essencial de laranja;BRL;30;0%;-40%;Alto;98;0,28;0,83;;;;;;10;30;20;30;30;40;30;40;20;30;20;30
oleo essencial de alecrim;BRL;18100;0%;-18%;Alto;100;0,29;0,78;;;;;;18100;14800;14800;14800;14800;18100;22200;18100;18100;14800;14800;14800
óleo de alecrim;BRL;14800;-18%;-33%;Alto;100;0,32;0,71;;;;;;18100;14800;12100;14800;12100;14800;14800;14800;14800;14800;14800;12100
óleo essencial limão siciliano;BRL;2400;-21%;-21%;Alto;100;0,38;0,92;;;;;;1900;1900;1900;1900;1900;2400;2900;2900;2400;2400;2400;1900
oleo alecrim essencial;BRL;20;100%;-33%;Alto;100;0,33;1,53;;;;;;10;30;40;40;10;30;20;30;10;10;20;20
oleo de essencial de alecrim;BRL;40;40%;600%;Alto;100;0,34;0,76;;;;;;30;20;20;40;30;40;50;70;70;50;50;70
óleo essencial de laranja doce benefícios;BRL;390;50%;85%;Alto;86;0,27;0,95;;;;;;390;390;320;210;210;320;320;390;390;480;480;720
óleo alecrim;BRL;1000;0%;0%;Alto;100;0,31;0,76;;;;;;1000;880;720;880;880;1000;1300;1000;1000;1000;1000;1000
óleo essencial de limão;BRL;1900;19%;-21%;Alto;100;0,33;0,87;;;;;;2400;1900;1900;1900;1900;2400;1900;1900;1900;1600;1900;1900
óleo de semestre de uva puro;BRL;320;-65%;-35%;Alto;100;0,35;0,88;;;;;;210;260;210;260;170;320;480;390;390;480;320;170
oleo essencial de laranja na pele;BRL;20;0%;-50%;Baixo;24;;;;;;;;20;30;20;20;10;10;20;20;10;10;20;10
laranja doce oleo;BRL;20;100%;0%;Alto;92;0,34;0,57;;;;;;20;20;10;20;20;30;20;20;10;10;20;20
óleo essencial laranja doce benefícios;BRL;390;22%;22%;Alto;93;0,24;0,93;;;;;;590;590;320;170;140;320;320;320;480;590;590;720
óleo de essência de alecrim;BRL;30;300%;-20%;Alto;100;0,35;0,58;;;;;;40;30;30;30;50;50;50;40;20;10;10;40
essencial laranja;BRL;30;50%;50%;Alto;78;0,31;0,8;;;;;;20;20;20;30;10;20;40;30;30;20;50;30
o óleo de alecrim;BRL;20;0%;100%;Alto;68;0,34;0,65;;;;;;20;10;10;20;20;10;20;20;20;20;30;20
óleo essencial limão;BRL;720;0%;-33%;Alto;100;0,38;1;;;;;;720;590;720;720;590;880;880;880;720;590;590;590
shampoo de jabuticaba;BRL;30;33%;33%;Alto;100;0,49;1,05;;;;;;40;30;50;30;30;20;30;40;30;30;40;40
gel puro de aloe vera;BRL;390;22%;-56%;Alto;100;0,45;1,15;;;;;;720;390;210;480;390;320;390;260;260;320;320;390
aloe vera puro gel;BRL;320;-35%;-65%;Alto;100;0,46;1,34;;;;;;390;320;320;320;390;390;260;320;260;260;260;170
beneficios oleo limao siciliano;BRL;10;0%;∞;Médio;65;0,27;0,88;;;;;;0;0;0;0;0;0;0;30;40;20;30;20
óleo laranja;BRL;140;-21%;-21%;Alto;95;0,31;0,85;;;;;;110;110;90;70;110;170;170;140;140;140;140;110
óleo de limão siciliano;BRL;720;0%;-18%;Alto;100;0,38;0,76;;;;;;720;720;720;720;590;720;720;720;720;590;590;590
olho essencial de alecrim;BRL;20;100%;100%;Alto;100;0,32;0,52;;;;;;10;40;70;50;10;20;10;10;20;10;10;20
óleos essenciais laranja doce;BRL;90;-22%;-36%;Alto;99;0,3;0,96;;;;;;90;70;70;70;70;110;110;90;90;90;110;70
oleo essencial laranja doce aromaterapia;BRL;20;-50%;-50%;Alto;97;;;;;;;;20;20;20;20;30;20;10;20;20;20;20;10
óleo de limão;BRL;1300;-23%;-38%;Alto;100;0,29;0,79;;;;;;1300;1000;1300;1300;1300;1300;1600;1300;1300;1300;1300;1000
oleo essencial de laranja doce aromaterapia;BRL;10;0%;-50%;Alto;99;;;;;;;;10;20;20;20;10;10;20;10;20;10;10;10
benefícios do óleo essencial de limão;BRL;70;0%;-22%;Alto;74;0,29;0,52;;;;;;70;90;70;90;70;70;70;90;90;70;70;70
óleo de laranja;BRL;1300;23%;23%;Alto;100;0,31;0,78;;;;;;1600;1600;1000;1000;720;1600;1300;1300;1300;1300;1600;1600
óleo essencial de alecrim aromaterapia;BRL;390;-46%;0%;Alto;99;0,31;0,9;;;;;;320;390;390;480;390;480;480;590;480;590;480;320
oleo essencial da laranja;BRL;20;0%;0%;Alto;96;0,57;0,97;;;;;;30;50;20;10;20;20;20;20;10;20;40;20
mascara capilar fortalecedora;BRL;30;0%;-33%;Alto;100;1,19;1,72;;;;;;20;20;30;20;20;30;50;20;30;20;50;20
óleo essencial de melaleuca;BRL;9900;0%;0%;Alto;100;0,52;1,95;;;;;;9900;12100;9900;9900;9900;12100;12100;12100;12100;12100;12100;12100
oleo limao siciliano beneficios;BRL;30;0%;-64%;Alto;98;0,33;1,02;;;;;;40;30;10;20;20;10;20;30;70;40;10;40
óleo essencial de lavanda;BRL;33100;-18%;-18%;Alto;100;0,42;1,4;;;;;;33100;33100;27100;33100;27100;40500;40500;40500;33100;33100;33100;27100
óleo essencial melaleuca;BRL;3600;22%;22%;Alto;100;0,4;2,87;;;;;;3600;3600;2900;3600;3600;4400;4400;4400;4400;3600;3600;4400
condicionador fortalecedor;BRL;20;-67%;0%;Alto;100;;;;;;;;20;10;20;20;20;30;30;20;20;30;30;10
oleo essencial doce;BRL;40;-20%;100%;Alto;100;0,4;1,08;;;;;;30;50;30;50;30;30;40;40;30;50;40;40
benefícios do óleo essencial de laranja doce;BRL;170;-19%;0%;Médio;61;0,14;0,77;;;;;;140;140;140;90;90;170;170;170;210;210;210;170
essencial melaleuca;BRL;20;0%;0%;Alto;100;0,4;3,79;;;;;;30;20;20;30;20;20;20;20;20;20;30;20
óleos essenciais de alecrim;BRL;110;-36%;-18%;Alto;100;0,3;0,64;;;;;;110;110;90;90;110;140;110;140;140;140;110;90
benefícios do óleo de limão;BRL;50;0%;-44%;Alto;88;0,31;1,01;;;;;;90;50;50;70;50;70;50;70;40;50;40;50
óleo essencial puro de alecrim;BRL;140;-35%;-48%;Alto;100;0,44;1,17;;;;;;170;140;110;110;90;140;170;210;210;170;140;110
óleos essenciais alecrim;BRL;210;0%;-19%;Alto;99;0,33;0,88;;;;;;210;170;170;210;140;210;210;210;210;170;170;170
oleos essencial de alecrim;BRL;70;40%;-36%;Alto;100;0,3;0,67;;;;;;50;90;70;70;90;90;70;90;70;50;70;70
lavanda óleo essencial;BRL;1000;-12%;-45%;Alto;100;0,42;3,71;;;;;;1300;1000;880;1000;880;1000;1300;1300;1300;1000;1000;880
óleo essencial lavanda;BRL;6600;0%;-18%;Alto;100;0,44;1,28;;;;;;6600;6600;5400;5400;5400;8100;8100;6600;6600;5400;6600;5400
oleo alecrim aromaterapia;BRL;20;-50%;100%;Alto;100;0,29;0,86;;;;;;20;10;10;20;10;10;20;20;20;40;10;20
limão oleo essencial;BRL;70;29%;0%;Alto;100;0,37;1,08;;;;;;50;70;90;90;90;70;90;70;70;70;110;90
olha essencial de alecrim;BRL;110;-18%;56%;Alto;100;0,32;0,5;;;;;;70;50;70;70;90;140;140;140;110;170;140;140
oleo essencial alecrim aromaterapia;BRL;30;0%;0%;Alto;93;0,27;1,1;;;;;;30;20;30;30;30;20;40;40;30;30;30;30
aromaterapia oleo de alecrim;BRL;20;50%;50%;Alto;100;0,27;0,91;;;;;;30;20;20;20;20;20;20;20;10;20;20;30
laranja oleo essencial;BRL;70;0%;0%;Alto;100;0,36;0,86;;;;;;90;70;70;50;70;90;70;70;70;70;70;70
