Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
venda de óleos essenciais;BRL;90;-44%;-44%;Alto;100;0,72;2,35;;;;;;90;90;90;70;70;110;90;90;90;90;90;50
melhores óleos essenciais para aromaterapia;BRL;210;-78%;-78%;Alto;100;0,43;1,57;;;;;;170;170;140;210;210;320;320;320;260;320;260;70
oleo essencial valor;BRL;90;-29%;-55%;Alto;100;0,37;0,74;;;;;;90;70;70;90;110;110;140;140;70;70;70;50
os melhores óleos essenciais;BRL;30;-25%;-25%;Alto;100;0,34;0,76;;;;;;20;30;30;30;20;30;30;50;50;40;40;30
comprar óleos essenciais puros;BRL;40;0%;-86%;Alto;100;1,1;2,22;;;;;;50;40;40;50;30;50;40;20;40;10;10;10
essencias e oleos essenciais;BRL;70;-56%;-56%;Alto;100;0,51;1,32;;;;;;90;70;50;50;50;50;90;90;50;90;50;40
óleo essencial 100 puro;BRL;170;-19%;0%;Alto;100;0,47;1,07;;;;;;170;110;170;170;140;260;210;170;170;210;260;170
oleos essenciais mais vendidos;BRL;70;0%;0%;Alto;100;0,3;1,04;;;;;;70;70;50;50;70;110;70;70;50;70;90;70
oleo essencial promoção;BRL;90;0%;-36%;Alto;100;0,7;1,81;;;;;;70;170;90;90;90;90;170;110;70;70;90;70
alecrim óleo essencial;BRL;720;0%;-18%;Alto;100;0,2;0,71;;;;;;880;720;720;720;720;880;880;880;720;720;880;720
quais os melhores óleos essenciais;BRL;50;0%;0%;Alto;100;0,3;0,74;;;;;;40;50;30;70;40;50;50;50;70;50;50;50
oleos essenciais e oleos vegetais;BRL;30;-50%;-75%;Alto;74;0,32;1,19;;;;;;30;20;10;20;30;40;50;30;30;20;40;10
aromaterapia essencias;BRL;110;0%;-21%;Alto;100;0,33;1,49;;;;;;140;90;140;110;70;90;110;140;90;110;110;110
os melhores oleos essenciais;BRL;110;-36%;-36%;Alto;100;0,41;1,21;;;;;;90;90;90;110;110;110;140;110;110;140;110;90
oleo essencial tipos;BRL;70;-29%;0%;Alto;100;0,25;0,7;;;;;;50;50;70;70;50;90;70;50;70;70;70;50
preço oleos essenciais;BRL;30;0%;-71%;Alto;100;0,48;1,49;;;;;;30;50;30;50;40;30;30;40;20;20;20;20
oleos essenciais valor;BRL;90;80%;-36%;Alto;100;0,42;0,92;;;;;;140;70;70;90;90;90;90;90;50;50;90;90
oleo essencial para o corpo;BRL;30;0%;-20%;Alto;100;0,26;0,92;;;;;;30;30;50;30;20;40;30;20;40;40;30;40
oleos essenciais promoção;BRL;70;-60%;-71%;Alto;100;0,58;1,76;;;;;;50;140;70;70;70;140;50;50;40;50;70;20
quais melhores oleos essenciais;BRL;40;-25%;0%;Alto;99;0,27;1,18;;;;;;40;30;30;40;30;50;50;50;70;40;40;30
tratamento com óleos essenciais;BRL;170;-18%;-33%;Alto;100;0,34;1,21;;;;;;210;170;140;170;170;170;210;170;140;170;170;140
tipos de oleos essenciais;BRL;390;0%;-18%;Alto;100;0,26;0,71;;;;;;480;390;260;320;320;390;390;390;390;320;390;320
óleos essenciais terapêuticos;BRL;30;50%;50%;Alto;100;0,41;1,18;;;;;;30;40;20;30;30;20;40;40;40;20;10;30
tipos de oleo essencial;BRL;70;0%;-22%;Alto;100;0,27;0,76;;;;;;50;70;70;70;50;90;90;70;90;70;70;70
oleos essenciais puros;BRL;320;-19%;-64%;Alto;100;0,55;1,4;;;;;;390;390;260;320;210;320;320;320;320;260;260;210
uso de oleos essenciais;BRL;90;-18%;-36%;Alto;87;0,26;0,72;;;;;;110;90;70;90;90;110;110;110;70;110;110;90
marcas de óleos essenciais puros;BRL;170;-22%;-59%;Alto;100;0,39;1,32;;;;;;260;480;260;170;110;140;170;110;90;90;70;70
melhores oleos essenciais;BRL;1000;-12%;-12%;Alto;100;0,45;1,5;;;;;;880;880;880;880;880;1300;1300;1300;1000;1000;1000;880
oleos essenciais puros e naturais;BRL;30;-33%;0%;Alto;100;0,6;1,69;;;;;;50;30;10;20;40;30;20;50;40;30;50;20
essencia para aromaterapia;BRL;70;0%;-29%;Alto;100;0,48;1,14;;;;;;70;40;40;50;70;70;70;90;50;50;70;50
oleo vegetal para oleo essencial;BRL;30;-33%;-50%;Alto;100;0,4;1,01;;;;;;20;20;30;30;30;50;50;40;30;30;40;20
oleo essencial phatoil;BRL;40;0%;∞;Alto;100;0,33;1,05;;;;;;70;70;70;70;20;40;40;20;20;10;20;10
oleos essenciais qual o melhor;BRL;30;-67%;-67%;Alto;100;0,25;1,2;;;;;;20;50;20;40;30;40;50;20;30;30;20;10
marcas oleos essenciais;BRL;140;-35%;-35%;Alto;100;0,36;1,67;;;;;;90;110;90;140;110;210;210;170;170;170;170;110
oleos organicos;BRL;40;0%;-20%;Alto;100;0,46;2,13;;;;;;30;40;40;50;40;50;50;50;40;40;40;40
oleos essenciais terapeuticos;BRL;70;0%;-22%;Alto;100;0,55;1,7;;;;;;70;70;70;90;90;90;90;90;90;70;70;70
essencia oleo essencial;BRL;70;0%;-29%;Alto;100;0,49;1,3;;;;;;50;50;70;70;50;70;90;70;70;50;70;50
marcas de oleos essenciais;BRL;480;0%;-19%;Alto;100;0,38;1,33;;;;;;590;480;390;480;390;590;480;480;480;480;480;480
oleo essencial marcas;BRL;210;0%;-19%;Alto;100;0,5;1,58;;;;;;210;210;170;170;210;260;320;210;260;210;210;210
loja de oleos essenciais em sp;BRL;170;-85%;-81%;Alto;100;0,59;1,66;;;;;;170;140;110;140;260;140;210;140;110;260;140;40
receitas com óleos essenciais;BRL;110;-50%;-36%;Alto;100;0,34;1,4;;;;;;110;110;90;110;90;110;110;140;90;140;90;70
tudo sobre oleos essenciais;BRL;90;-22%;-36%;Alto;100;0,33;0,97;;;;;;90;90;70;90;70;90;110;110;70;90;90;70
óleos essenciais brasileiros;BRL;170;21%;-47%;Alto;100;0,54;1,95;;;;;;210;260;210;260;210;260;140;140;140;140;90;170
uso de oleo essencial;BRL;50;-20%;-43%;Alto;99;0,27;0,74;;;;;;70;70;40;50;40;50;50;50;70;50;40;40
uso dos oleos essenciais;BRL;50;-20%;-43%;Alto;79;0,26;1,11;;;;;;70;70;50;40;50;50;70;50;70;50;50;40
quantos oleos essenciais existem;BRL;50;67%;-29%;Alto;100;0,35;0,98;;;;;;50;30;50;50;50;50;50;50;50;30;50;50
essencia e oleo essencial;BRL;140;-35%;-21%;Alto;99;0,04;0,93;;;;;;110;90;90;110;90;140;140;170;140;170;140;110
oleos essenciais confiaveis;BRL;50;0%;-43%;Alto;100;0,51;1,92;;;;;;40;50;50;50;40;70;70;50;50;40;40;40
marcas oleo essencial;BRL;30;0%;50%;Alto;100;0,47;1,78;;;;;;30;20;20;30;30;40;20;40;30;30;30;30
oleos vegetais e essenciais;BRL;70;-43%;-56%;Alto;100;0,42;1,01;;;;;;50;40;40;40;40;70;90;90;110;70;140;40
marca oleo essencial;BRL;30;0%;-25%;Alto;100;0,51;1,51;;;;;;40;40;20;20;30;50;30;30;30;30;30;30
quais os melhores oleos essenciais;BRL;140;-18%;0%;Alto;99;0,34;1,14;;;;;;110;110;90;110;90;170;170;110;140;170;140;140
exemplos de óleos essenciais;BRL;30;50%;-57%;Médio;35;0,23;0,68;;;;;;30;50;40;20;40;30;50;30;30;20;30;30
principais oleos essenciais;BRL;170;-18%;-33%;Alto;100;0,11;1,18;;;;;;170;170;170;140;140;210;210;210;170;170;170;140
óleos essenciais propriedades;BRL;720;-34%;-70%;Alto;100;0,23;0,78;;;;;;1000;880;720;880;590;880;720;720;590;590;480;390
oleos essenciais rj;BRL;50;100%;-82%;Alto;100;0,67;1,56;;;;;;90;90;50;70;40;30;50;70;40;10;30;20
qual o melhor óleo essencial de lavanda;BRL;50;0%;0%;Alto;100;0,47;1,49;;;;;;70;70;50;40;50;90;50;50;50;50;50;50
loja oleos essenciais sp;BRL;30;33%;-20%;Alto;84;0,82;2,33;;;;;;50;40;40;20;30;30;30;10;40;30;30;40
oleos essenciais para o corpo;BRL;50;-44%;-29%;Alto;100;0,26;0,88;;;;;;50;50;30;50;40;50;50;70;90;90;40;50
receitas oleos essenciais;BRL;30;-50%;-86%;Alto;90;0,27;1,05;;;;;;40;40;30;20;30;30;30;50;30;20;30;10
oleos essenciais basicos;BRL;20;100%;-50%;Alto;100;0,26;1,49;;;;;;30;30;20;20;30;30;30;20;20;10;20;20
oleos essenciais melhores marcas;BRL;210;-19%;-35%;Alto;100;0,45;1,77;;;;;;170;170;170;170;140;210;170;260;260;210;210;170
oleos essenciais para tomar;BRL;40;0%;-40%;Alto;100;0,36;1,32;;;;;;50;50;50;50;30;50;50;40;20;30;40;30
oleo essencial corporal;BRL;50;-29%;0%;Alto;100;0,49;1,06;;;;;;40;30;30;30;40;50;50;40;70;70;50;50
melhores marcas de óleo essencial;BRL;210;-19%;-19%;Alto;100;0,49;2,04;;;;;;260;170;170;170;140;260;260;260;210;210;210;170
terapia com óleos essenciais;BRL;210;24%;0%;Alto;100;0,44;1,39;;;;;;210;260;210;210;170;260;210;260;210;210;260;260
óleo essencial de alecrim;BRL;18100;0%;-18%;Alto;100;0,29;0,78;;;;;;18100;14800;14800;14800;14800;18100;22200;18100;18100;14800;14800;14800
todos os oleos essenciais;BRL;30;-50%;-50%;Alto;100;0,57;1,33;;;;;;30;40;30;30;20;20;40;20;20;20;20;10
tabela de óleos essenciais;BRL;140;0%;-18%;Alto;91;0,41;1,62;;;;;;140;110;90;110;110;170;140;140;140;140;140;140
melhores marcas de oleos essenciais;BRL;720;-18%;-41%;Alto;100;0,42;1,75;;;;;;880;720;590;720;720;1000;880;880;720;720;590;590
oleos essenciais e suas indicações;BRL;70;40%;-22%;Alto;100;0,26;1,2;;;;;;90;50;40;70;70;90;70;70;50;50;90;70
melhor marca de óleo essencial;BRL;320;0%;0%;Alto;100;0,46;1,64;;;;;;320;260;260;320;210;390;480;390;390;320;320;320
óleos essenciais litro;BRL;50;0%;0%;Alto;100;0,45;1,5;;;;;;90;50;40;90;70;50;50;50;50;40;70;40
oleo essencial e vegetal;BRL;30;-33%;-33%;Médio;66;0,48;1,25;;;;;;30;20;10;30;40;20;40;40;50;30;50;20
oleo essencial propriedades;BRL;40;-20%;-43%;Alto;81;0,23;0,77;;;;;;50;30;30;40;30;50;50;50;50;50;30;40
essencia aromaterapia;BRL;140;-33%;-18%;Alto;100;0,53;1,35;;;;;;170;110;90;90;110;170;170;110;170;210;140;140
marca de oleo essencial;BRL;210;-19%;-19%;Alto;100;0,34;1,02;;;;;;170;170;140;170;170;260;210;210;210;210;210;170
oleo essencial beneficios;BRL;210;0%;0%;Alto;99;0,11;0,76;;;;;;140;170;170;210;170;170;210;260;260;210;260;210
óleos essenciais definição;BRL;40;0%;-25%;Baixo;24;;;;;;;;50;50;20;30;30;40;50;40;30;30;20;30
função óleos essenciais;BRL;30;0%;-25%;Alto;98;0,23;0,65;;;;;;30;20;30;30;50;40;40;30;40;30;30;30
óleo essencial funciona;BRL;210;-19%;-19%;Alto;91;0,26;1,51;;;;;;170;170;140;170;140;210;260;210;210;210;210;170
oleos essenciais indicações;BRL;50;0%;-43%;Alto;100;0,23;0,78;;;;;;50;40;40;50;40;50;70;50;50;40;50;40
melhores marcas óleos essenciais;BRL;320;-56%;-46%;Alto;100;0,46;2,16;;;;;;260;260;260;320;260;390;390;390;320;320;260;140
óleos essenciais benefícios;BRL;1300;-55%;-69%;Alto;99;0,21;0,77;;;;;;1600;1300;1000;1600;1300;1600;1600;1300;1600;1300;1300;590
propriedades oleos essenciais;BRL;70;0%;-44%;Alto;96;0,22;0,97;;;;;;70;90;50;70;70;70;70;90;70;50;90;50
essência de óleo;BRL;70;40%;133%;Alto;100;0,55;1,02;;;;;;50;50;70;70;70;70;70;70;50;50;70;70
melhores marcas oleo essencial;BRL;50;40%;0%;Alto;100;0,63;2,11;;;;;;50;30;30;40;50;70;90;70;50;50;70;70
beneficios oleos essenciais;BRL;210;0%;-34%;Alto;97;0,22;0,91;;;;;;320;260;210;210;210;260;260;260;260;210;210;210
melhor marca oleo essencial;BRL;110;-18%;-18%;Alto;100;0,62;2,3;;;;;;90;70;70;90;90;110;170;140;90;110;90;90
essencia oleo;BRL;140;0%;55%;Alto;100;0,56;1,43;;;;;;140;110;110;110;170;210;170;140;140;170;110;170
oleo essencial brasil;BRL;110;-18%;-47%;Alto;97;0,5;1,6;;;;;;140;110;110;110;110;140;110;140;110;110;110;90
essencias terapeuticas;BRL;70;40%;0%;Alto;100;0,49;1,13;;;;;;40;50;50;50;70;50;70;70;70;50;70;70
óleos essenciais para saúde;BRL;90;33%;-64%;Alto;84;0,33;0,99;;;;;;90;140;140;170;110;140;50;50;40;30;50;40
oleos essenciais funcoes;BRL;170;-21%;-48%;Alto;100;0,22;0,71;;;;;;170;170;170;140;170;210;260;170;170;140;140;110
lista oleos essenciais;BRL;30;0%;0%;Alto;100;0,45;0,81;;;;;;30;30;20;20;40;40;20;30;20;20;20;20
oleo essencial melhor marca;BRL;30;50%;-40%;Alto;100;0,57;2,14;;;;;;20;20;20;30;30;50;50;40;30;20;30;30
oleos essenciais e funções;BRL;40;-25%;-25%;Alto;91;0,22;1,28;;;;;;40;40;40;40;40;50;50;50;20;40;40;30
oleos essenciais e vegetais;BRL;50;25%;-44%;Alto;99;0,39;1,08;;;;;;90;50;50;50;30;40;50;70;50;40;50;50
óleos essenciais e seus benefícios;BRL;320;-19%;-19%;Alto;100;0,24;0,77;;;;;;320;320;260;320;320;390;320;390;320;320;320;260
oleo essencial funções;BRL;70;0%;-44%;Alto;98;0,11;0,89;;;;;;70;70;50;70;50;70;90;70;70;50;70;50
óleos essenciais funcionam;BRL;390;0%;-46%;Alto;100;0,35;1,54;;;;;;480;390;320;320;320;480;480;390;390;320;320;320
melhor óleo essencial de lavanda;BRL;90;40%;-59%;Alto;100;0,55;1,48;;;;;;170;110;110;110;70;110;90;70;50;50;70;70
óleo essencial phytoterápica é bom;BRL;260;24%;24%;Alto;100;0,28;1,02;;;;;;210;210;210;210;210;260;320;260;210;210;260;260
benefícios dos óleos essenciais;BRL;720;-18%;-18%;Alto;95;0,23;0,8;;;;;;720;720;590;720;720;880;880;880;880;880;720;720
oleos essenciais fitoterapica;BRL;50;0%;-89%;Alto;100;0,36;1,31;;;;;;90;50;50;50;50;70;70;70;30;10;10;10
oleo essencial de lavanda puro;BRL;110;0%;22%;Alto;100;0,44;1,19;;;;;;70;70;110;70;70;110;170;170;90;110;140;110
óleo essencial alecrim;BRL;3600;0%;-19%;Alto;100;0,29;1,04;;;;;;3600;2900;2900;2900;2900;3600;4400;3600;3600;2900;2900;2900
funções dos oleos essenciais;BRL;70;0%;0%;Alto;92;0,24;0,74;;;;;;40;40;50;50;50;50;50;70;90;70;70;70
terapia oleos essenciais;BRL;50;-29%;0%;Alto;100;0,49;1,61;;;;;;50;50;50;20;50;50;50;50;50;70;50;50
produtos naturais oleos essenciais;BRL;30;0%;-33%;Alto;100;0,55;1,53;;;;;;40;40;30;30;20;30;50;20;30;20;20;20
benefícios do óleo essencial;BRL;90;-18%;0%;Alto;93;0,11;0,6;;;;;;70;70;50;90;90;110;110;110;110;110;110;90
lista de óleos essenciais;BRL;90;-29%;-55%;Alto;100;0,29;0,91;;;;;;90;90;70;70;90;90;90;110;90;70;50;50
oleos essenciais lista;BRL;40;-25%;-25%;Alto;100;0,26;0,78;;;;;;40;30;20;50;50;50;40;50;50;40;40;30
kit oleos essenciais aromaterapia;BRL;50;-43%;-43%;Alto;100;0,42;1,18;;;;;;50;70;50;40;50;40;70;110;70;70;40;40
oleo essencial puro de lavanda;BRL;70;0%;0%;Alto;100;0,37;1;;;;;;90;90;50;50;50;90;70;50;50;70;70;70
essencia de oleo aromatico;BRL;50;25%;-29%;Alto;100;0,4;0,83;;;;;;70;30;40;40;30;50;40;50;50;40;50;50
combinação de oleos essenciais;BRL;140;-21%;-35%;Alto;100;0,27;1;;;;;;110;140;140;140;90;210;170;170;140;140;140;110
sinergia óleos essenciais;BRL;390;0%;-33%;Alto;100;0,38;1,73;;;;;;390;390;390;320;390;480;390;390;320;320;390;320
melhor marca de oleos essenciais;BRL;70;40%;-22%;Alto;100;0,58;1,59;;;;;;90;70;50;70;70;90;110;110;50;50;70;70
aromaterapia;BRL;40500;0%;-18%;Alto;100;0,44;1,21;;;;;;49500;40500;40500;40500;40500;49500;49500;49500;49500;40500;40500;40500
oleo essencial e essencia;BRL;170;-21%;-35%;Alto;100;0,34;0,94;;;;;;140;140;110;170;210;170;210;140;170;140;110;110
oleo essencial fitoterapico;BRL;50;25%;0%;Alto;100;0,55;1,54;;;;;;40;40;40;50;50;50;70;90;70;40;70;50
oleo essencial melhores marcas;BRL;140;21%;0%;Alto;100;0,47;1,77;;;;;;170;140;140;90;110;170;210;140;170;140;170;170
oleos essenciais e beneficios;BRL;20;100%;-50%;Alto;99;0,11;0,76;;;;;;30;10;20;10;20;20;20;30;20;10;20;20
lojas de aromaterapia;BRL;210;-19%;-35%;Alto;100;0,58;1,4;;;;;;260;210;170;210;260;170;210;210;210;210;210;170
oleo essencial de lavanda aromaterapia;BRL;70;57%;120%;Alto;100;0,37;0,97;;;;;;50;40;50;70;50;70;50;90;90;70;110;110
qual a melhor marca de óleo essencial;BRL;210;-19%;0%;Alto;100;0,39;1,25;;;;;;260;170;170;210;210;260;210;260;260;260;260;210
