Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
cosmeticos para revenda;BRL;1300;-19%;-32%;Alto;100;0,62;1,69;;;;;;1600;1300;1000;1600;1300;1600;1600;1300;1300;1600;1600;1300
cosmeticos para revender;BRL;1300;-19%;-32%;Alto;100;0,62;1,69;;;;;;1600;1300;1000;1600;1300;1600;1600;1300;1300;1600;1600;1300
cosmeticos por atacado;BRL;90;0%;-22%;Alto;100;0,55;1,99;;;;;;90;90;70;110;70;140;70;90;90;70;70;70
cosmeticos revenda;BRL;210;0%;-35%;Alto;100;0,68;3,26;;;;;;210;210;210;210;140;210;210;170;170;170;210;170
cosmeticos rio de janeiro;BRL;90;-22%;40%;Alto;95;0,64;4,98;;;;;;210;30;70;90;90;70;210;90;110;90;40;70
cosmeticos rj;BRL;50;-40%;-67%;Alto;97;0,6;2;;;;;;50;50;30;40;30;90;40;90;40;50;50;30
cosmeticos site;BRL;50;75%;0%;Alto;100;0,95;3,02;;;;;;30;50;40;40;40;40;70;70;50;40;70;70
cosmeticos sp;BRL;70;33%;0%;Alto;98;1,01;2,52;;;;;;50;70;30;50;90;50;50;110;50;30;170;40
cosmeticos veganos naturais;BRL;40;125%;800%;Alto;100;0,92;2,28;;;;;;20;20;30;20;30;90;30;30;20;40;30;90
cosmeticos veganos para revenda;BRL;70;-29%;-29%;Alto;100;0,66;1,77;;;;;;50;70;50;90;70;50;110;90;70;70;50;50
cosmeticos veganos sp;BRL;20;0%;-33%;Alto;100;0,92;3,01;;;;;;20;20;50;10;10;20;20;20;20;20;10;20
cosmetics curitiba;BRL;1600;0%;-32%;Médio;49;0,71;2,36;;;;;;1600;1300;1900;1600;1300;1900;1600;1600;1600;1300;1600;1300
cosmetics site;BRL;50;0%;25%;Alto;100;0,45;1,68;;;;;;50;70;70;40;30;40;50;40;40;50;50;50
cosmética online;BRL;30;-50%;-50%;Alto;100;1;5,23;;;;;;20;40;30;20;30;30;30;30;30;20;30;10
cosmético natural;BRL;590;22%;0%;Alto;100;0,96;2,43;;;;;;720;720;480;590;480;720;720;720;480;590;590;720
cosméticos bh;BRL;70;40%;-22%;Alto;100;0,73;14,78;;;;;;70;70;40;50;50;90;90;40;50;50;90;70
cosméticos com óleos essenciais;BRL;40;-33%;-71%;Alto;100;0,55;1,55;;;;;;40;70;30;30;20;50;40;50;30;30;70;20
cosméticos da natura;BRL;70;-56%;-20%;Alto;100;0,41;1,47;;;;;;70;70;50;50;50;50;70;50;70;90;50;40
cosméticos em joinville;BRL;170;27%;-46%;Baixo;14;0,43;1,84;;;;;;260;210;170;140;170;170;170;170;210;110;170;140
cosméticos jundiaí;BRL;50;-57%;0%;Médio;58;0,63;1,12;;;;;;70;50;50;50;40;70;70;30;40;70;30;30
cosméticos naturais;BRL;5400;0%;-18%;Alto;100;0,92;2,26;;;;;;6600;6600;5400;5400;5400;6600;6600;6600;6600;5400;5400;5400
cosméticos naturais e orgânicos;BRL;30;67%;25%;Alto;100;0,79;2,2;;;;;;30;30;20;20;20;20;20;30;40;30;40;50
cosméticos naturais e orgânicos para revenda;BRL;110;27%;0%;Alto;100;0,7;1,78;;;;;;140;110;70;90;90;110;110;110;110;110;90;140
cosméticos naturais e veganos;BRL;110;29%;-36%;Alto;100;0,9;2,29;;;;;;110;170;70;140;170;90;140;110;110;70;110;90
cosméticos naturais marcas;BRL;70;0%;-22%;Alto;100;0,67;2,02;;;;;;90;70;70;90;50;110;90;70;110;70;50;70
cosméticos naturais no atacado;BRL;50;-40%;-67%;Alto;100;0,67;1,4;;;;;;50;50;70;70;50;50;50;30;30;50;40;30
cosméticos naturais orgânicos e veganos;BRL;20;200%;0%;Alto;100;0,79;3,04;;;;;;20;20;10;10;10;50;20;20;20;10;20;30
cosméticos naturais para cabelos;BRL;70;-44%;-29%;Alto;100;0,74;2,02;;;;;;90;70;50;90;70;70;90;50;70;90;70;50
cosméticos naturais pdf;BRL;70;-29%;-44%;Alto;99;0,47;2,11;;;;;;70;70;50;40;70;70;70;70;50;70;70;50
cosméticos naturais veganos;BRL;50;25%;25%;Alto;100;0,93;2,12;;;;;;50;40;40;50;40;50;70;40;70;40;50;50
cosméticos natureza;BRL;70;29%;29%;Alto;99;0,27;6,14;;;;;;70;90;50;50;40;50;50;70;90;70;70;90
cosméticos orgânicos e naturais;BRL;40;-67%;-75%;Alto;100;0,92;2,18;;;;;;40;40;30;10;40;50;40;50;50;30;20;10
cosméticos orgânicos para revenda;BRL;40;0%;0%;Alto;100;0,61;1,02;;;;;;20;30;40;40;50;30;50;30;40;40;30;40
cosméticos para;BRL;10;100%;100%;Alto;94;;;;;;;;10;20;10;10;10;10;10;10;10;10;10;20
cosméticos para vender;BRL;50;-60%;-71%;Alto;100;0,62;2,54;;;;;;40;30;40;40;50;70;70;70;70;50;20;20
cosméticos telefone;BRL;30;-67%;-50%;Baixo;9;;;;;;;;20;30;30;20;20;30;30;40;30;30;20;10
cosméticos veganos atacado;BRL;30;100%;33%;Alto;100;0,56;2,08;;;;;;10;10;10;20;10;30;50;50;50;20;30;40
cosméticos veganos brasileiros;BRL;140;-36%;-50%;Alto;100;0,75;2,3;;;;;;260;210;210;110;110;140;210;140;90;110;90;70
cosméticos veganos e naturais;BRL;20;-50%;-67%;Alto;100;0,83;1,66;;;;;;10;30;20;20;20;20;40;20;20;20;20;10
cosméticos veganos marcas;BRL;210;24%;189%;Alto;100;0,67;2,07;;;;;;140;110;110;170;170;210;590;320;210;210;260;260
cosméticos veganos marcas brasileiras;BRL;90;55%;467%;Alto;100;0,8;3,88;;;;;;30;30;30;30;40;50;170;170;170;110;140;170
cosméticos veganos para revenda;BRL;70;-29%;-29%;Alto;100;0,66;1,77;;;;;;50;70;50;90;70;50;110;90;70;70;50;50
cosméticos veganos revenda;BRL;20;-50%;-86%;Alto;100;;;;;;;;30;20;20;20;20;40;40;10;30;20;20;10
de cosmeticos;BRL;260;-34%;-56%;Alto;75;0,6;2,41;;;;;;320;260;320;260;260;320;260;260;210;320;260;210
de cosmético;BRL;260;-34%;-56%;Alto;75;0,6;2,41;;;;;;320;260;320;260;260;320;260;260;210;320;260;210
dermocosméticos para revenda;BRL;40;-20%;0%;Alto;100;0,47;1,41;;;;;;20;30;40;40;50;30;70;50;30;50;70;40
distribuidor de cosmetico;BRL;4400;0%;-19%;Alto;79;0,6;1,92;;;;;;4400;4400;2900;4400;4400;4400;4400;4400;4400;4400;4400;4400
distribuidor de cosmeticos sp;BRL;480;23%;-19%;Alto;88;0,73;1,88;;;;;;590;480;390;590;480;480;480;480;320;390;320;480
distribuidor de cosméticos para revenda;BRL;320;0%;555%;Alto;100;0,69;1,69;;;;;;90;90;70;140;140;210;320;140;320;720;880;720
distribuidora cosmeticos atacado;BRL;880;-34%;-76%;Alto;100;0,71;1,92;;;;;;1300;1300;880;1000;720;880;880;720;720;590;480;390
distribuidora cosmeticos sp;BRL;90;-44%;-44%;Alto;94;0,74;2,08;;;;;;50;70;50;170;110;110;70;70;70;90;40;50
distribuidora cosméticos atacado;BRL;880;-34%;-76%;Alto;100;0,71;1,92;;;;;;1300;1300;880;1000;720;880;880;720;720;590;480;390
distribuidora de cosmeticos atacado;BRL;1000;-23%;0%;Alto;100;0,67;1,94;;;;;;590;880;880;1300;1000;1300;1600;1300;1300;1300;1300;1000
distribuidora de cosmeticos sao paulo;BRL;70;-36%;75%;Médio;60;0,68;1,72;;;;;;50;70;30;50;90;50;30;90;90;110;40;70
distribuidora de cosmeticos sc;BRL;40;-67%;-67%;Médio;56;0,49;1,24;;;;;;40;30;20;40;20;50;40;20;20;90;30;30
distribuidora de cosméticos em sp;BRL;90;0%;-29%;Alto;89;0,76;2,07;;;;;;70;70;40;90;110;70;70;140;90;50;170;50
distribuidora de cosméticos em são paulo;BRL;90;22%;-35%;Médio;57;0,72;2,32;;;;;;170;90;70;110;140;70;70;90;110;90;90;110
distribuidora de cosméticos naturais;BRL;90;189%;86%;Baixo;28;0,7;2,2;;;;;;70;70;70;70;70;90;110;110;90;90;70;260
distribuidora dos cosméticos;BRL;480;-19%;-19%;Alto;67;0,47;1,43;;;;;;320;320;390;390;480;720;720;590;590;590;590;480
distribuidoras de cosmeticos em sao paulo;BRL;50;80%;200%;Baixo;13;0,74;2,33;;;;;;20;20;70;50;70;70;20;70;110;50;10;90
distribuidores de cosméticos no brasil;BRL;40;-67%;-91%;Alto;77;0,91;2,25;;;;;;70;40;40;40;40;50;90;50;50;30;30;10
distribuição de cosméticos;BRL;70;-29%;0%;Médio;54;0,78;2,7;;;;;;70;210;40;70;70;70;70;40;20;70;50;50
do cosméticos;BRL;70;-40%;-67%;Alto;100;0,9;3,88;;;;;;90;90;70;50;50;50;90;50;70;50;90;30
e cosmetico;BRL;720;-18%;0%;Alto;100;0,71;3;;;;;;590;720;720;590;590;590;590;720;720;720;720;590
e cosmeticos;BRL;720;-18%;0%;Alto;100;0,71;3;;;;;;590;720;720;590;590;590;590;720;720;720;720;590
e cosméticos;BRL;720;-18%;0%;Alto;100;0,71;3;;;;;;590;720;720;590;590;590;590;720;720;720;720;590
e cosméticos produtos;BRL;70;40%;-22%;Alto;100;0,67;1,57;;;;;;70;110;70;40;30;30;90;50;70;50;50;70
empresa de cosmetico;BRL;1000;0%;0%;Baixo;33;0,62;1,5;;;;;;1000;1300;720;1000;1300;1300;1300;1300;1300;1000;1300;1000
empresa de cosmeticos brasileira;BRL;90;-18%;-47%;Baixo;23;0,45;2,21;;;;;;140;90;50;40;110;90;170;90;90;110;110;90
empresa de cosmeticos em bh;BRL;50;100%;-43%;Médio;42;0,6;1,34;;;;;;70;50;40;50;50;50;110;40;50;20;20;40
empresa de cosmeticos veganos;BRL;20;0%;0%;Alto;100;0,69;1,8;;;;;;30;10;10;10;10;30;30;10;20;10;20;10
empresa de cosméticos naturais;BRL;90;80%;-18%;Alto;88;0,75;2,06;;;;;;140;70;50;90;70;110;110;70;110;50;90;90
empresas de cosméticos em são paulo;BRL;110;27%;-18%;Médio;47;0,67;1,67;;;;;;110;50;50;50;390;110;70;70;70;110;170;140
empresas de cosméticos no brasil;BRL;110;29%;-47%;Médio;41;0,49;1,39;;;;;;170;140;70;70;210;110;140;70;70;70;110;90
empresas de cosméticos sp;BRL;170;56%;-18%;Baixo;29;0,61;1,74;;;;;;210;170;110;210;320;260;210;170;110;90;140;140
essencias veganas;BRL;20;50%;50%;Alto;100;0,49;1,23;;;;;;20;20;10;20;30;20;30;20;20;20;20;30
fabrica cosmeticos;BRL;260;0%;50%;Médio;49;0,62;1,5;;;;;;260;210;170;170;210;170;170;260;260;390;260;390
fabrica de cosmetico;BRL;2400;0%;-21%;Alto;83;0,66;1,75;;;;;;2900;2400;1900;2400;2900;2900;2400;2400;2400;1900;2400;1900
fabrica de cosmeticos em bh;BRL;140;50%;200%;Alto;72;0,63;1,59;;;;;;90;90;50;110;90;170;90;170;210;140;170;210
fabrica de cosmeticos naturais;BRL;90;29%;0%;Alto;100;0,71;1,89;;;;;;50;90;50;90;110;90;90;70;90;70;70;90
fabrica de cosmeticos rio de janeiro;BRL;40;-43%;300%;Médio;54;0,55;1,05;;;;;;30;20;10;20;50;70;20;30;30;70;30;40
fabrica de cosmeticos rj;BRL;140;-21%;-21%;Alto;79;0,59;1,35;;;;;;110;110;90;140;140;110;140;140;170;140;170;110
fabrica de cosmeticos sao paulo;BRL;170;-33%;100%;Alto;81;0,63;1,71;;;;;;170;140;110;110;110;390;110;170;170;210;90;140
fabrica de cosmeticos sp;BRL;210;0%;-33%;Alto;83;0,62;1,58;;;;;;260;140;90;210;320;720;210;170;140;140;110;140
fabrica de cosméticos em sp;BRL;90;250%;0%;Alto;77;0,65;1,63;;;;;;70;50;40;70;70;170;70;140;50;40;70;140
fabrica de cosméticos para revenda;BRL;110;-35%;0%;Alto;100;0,58;1,31;;;;;;90;50;70;90;90;90;110;110;140;170;140;110
fabrica de dermocosmeticos;BRL;20;100%;-33%;Alto;100;0,86;1,76;;;;;;10;10;20;20;10;10;20;30;10;10;40;20
fabrica de produtos cosmeticos;BRL;20;100%;-33%;Médio;47;0,6;1,63;;;;;;10;20;20;10;40;40;30;20;10;10;30;20
fabricantes de cosmeticos em sao paulo;BRL;70;180%;600%;Alto;69;0,68;1,91;;;;;;40;40;90;40;40;50;70;30;140;50;90;140
fabricantes de cosméticos no brasil;BRL;210;50%;255%;Médio;56;0,69;1,5;;;;;;390;210;110;140;210;170;140;140;170;260;390;390
fabricas de cosmeticos em sao paulo;BRL;90;-36%;200%;Médio;43;0,72;1,9;;;;;;50;30;70;90;50;210;50;50;50;140;90;90
fabricação de cosmeticos naturais;BRL;40;100%;-33%;Alto;82;0,75;1,99;;;;;;40;30;20;50;170;50;40;30;40;10;20;20
fabricação de cosméticos;BRL;140;56%;27%;Médio;52;0,65;1,69;;;;;;110;110;50;140;90;140;140;140;170;90;140;140
fornecedor cosmeticos;BRL;170;-19%;21%;Alto;100;0,56;2,79;;;;;;170;170;210;140;140;140;140;140;110;210;170;170
fornecedor cosméticos atacado;BRL;880;-71%;-87%;Alto;100;0,58;1,84;;;;;;1300;1000;880;1300;1000;1000;880;880;720;720;720;210
fornecedor de cosmeticos;BRL;1300;0%;0%;Alto;100;0,55;1,6;;;;;;1300;1300;1000;1600;1300;1300;1300;1600;1300;1300;1300;1300
fornecedor de cosmeticos naturais;BRL;140;0%;0%;Alto;100;0,78;1,86;;;;;;140;110;110;140;110;170;170;170;140;140;140;140
fornecedor de cosméticos atacado;BRL;170;50%;-34%;Alto;100;0,6;1,75;;;;;;170;140;140;320;210;170;110;170;170;140;210;210
fornecedor de cosméticos para revenda;BRL;170;0%;-19%;Alto;100;0,58;1,64;;;;;;210;170;210;320;140;90;90;90;140;170;170;170
fornecedor de produtos veganos;BRL;170;-18%;-18%;Alto;100;0,49;2,64;;;;;;140;110;90;140;110;210;210;210;210;170;210;140
fornecedores de cosméticos veganos;BRL;70;25%;25%;Alto;100;0,71;2,06;;;;;;30;50;50;70;70;70;110;90;70;40;40;50
fornecedores de dermocosmeticos;BRL;20;0%;0%;Alto;100;0,54;1,71;;;;;;20;10;10;30;10;20;20;30;20;20;20;20
fornecedores de produtos cosméticos;BRL;40;0%;0%;Alto;100;0,61;1,76;;;;;;50;50;30;50;30;30;30;40;40;50;50;50
fornecedores veganos;BRL;20;-50%;-50%;Alto;100;0,32;3,01;;;;;;20;10;10;20;10;10;10;30;20;20;20;10
fortaleza cosméticos e produtos naturais;BRL;20;0%;0%;Alto;74;0,76;2,37;;;;;;10;20;10;20;10;30;10;30;30;10;40;10
franquia cosmetico;BRL;390;0%;22%;Alto;74;0,91;4,4;;;;;;390;320;390;480;390;320;320;320;390;390;390;390
franquia cosméticos naturais;BRL;50;50%;-57%;Alto;83;0,86;2,81;;;;;;110;90;40;50;50;40;40;40;20;20;20;30
franquia de cosméticos naturais;BRL;110;0%;57%;Alto;86;0,85;2,47;;;;;;70;110;90;110;90;110;140;110;110;110;110;110
fábrica de cosméticos em santa catarina;BRL;50;-43%;-43%;Médio;48;0,65;1,51;;;;;;40;50;10;110;40;40;40;70;70;70;70;40
fábrica de cosméticos em são paulo;BRL;70;-56%;0%;Alto;77;0,65;1,63;;;;;;70;20;40;50;70;50;50;110;50;90;110;40
industria de cosmetico;BRL;2400;-33%;-17%;Baixo;25;0,64;1,62;;;;;;2400;1900;1300;1600;1900;2900;2900;3600;2400;3600;3600;2400
industria de cosmeticos em são paulo;BRL;260;88%;88%;Médio;34;0,67;1,49;;;;;;170;70;140;140;260;390;210;320;170;170;480;320
industrias de cosmeticos em sp;BRL;170;-18%;-33%;Baixo;18;0,61;1,46;;;;;;260;110;110;140;260;140;260;210;260;170;70;140
indústria de cosméticos;BRL;2400;-33%;-17%;Baixo;25;0,64;1,62;;;;;;2400;1900;1300;1600;1900;2900;2900;3600;2400;3600;3600;2400
indústria de cosméticos sp;BRL;110;29%;29%;Médio;46;0,61;1,46;;;;;;170;50;30;70;90;210;210;170;110;70;140;90
linha cosmeticos;BRL;110;0%;-21%;Alto;100;0,67;2,6;;;;;;170;140;110;140;90;90;140;170;110;110;90;110
linha de cosmeticos naturais;BRL;70;-29%;-44%;Alto;100;0,78;1,38;;;;;;70;50;70;70;50;90;110;70;40;70;50;50
linha de cosmeticos veganos;BRL;30;-40%;0%;Alto;100;0,71;1,59;;;;;;30;30;10;20;10;30;50;30;30;50;30;30
linha de cosméticos;BRL;480;0%;0%;Alto;99;0,52;2,34;;;;;;390;480;390;390;390;480;480;480;480;480;480;480
linha vegana;BRL;320;0%;-19%;Alto;100;0,49;2,02;;;;;;320;320;260;260;260;320;320;320;320;260;260;260
linha vegana da natura;BRL;20;0%;0%;Alto;98;0,57;1,54;;;;;;20;30;20;10;20;20;40;20;20;20;20;20
linhas de maquiagem vegana;BRL;70;0%;0%;Alto;100;0,47;0,98;;;;;;50;50;50;30;70;50;170;90;50;70;50;70
linhas veganas;BRL;40;25%;67%;Alto;96;0,38;3,12;;;;;;30;20;20;20;40;30;90;70;30;40;40;50
linhas veganas cabelo;BRL;30;-40%;200%;Alto;100;0,31;1,3;;;;;;10;20;10;20;10;20;90;40;50;50;40;30
loja cosmetica;BRL;6600;22%;0%;Alto;100;0,97;3,97;;;;;;6600;6600;6600;5400;5400;5400;6600;6600;5400;5400;5400;6600
loja cosmetica online;BRL;390;0%;-46%;Alto;100;0,95;4,2;;;;;;590;480;480;390;390;480;390;390;260;320;260;320
loja cosmetico campinas;BRL;260;0%;0%;Médio;50;0,4;1,16;;;;;;260;260;320;170;260;320;320;320;210;260;260;260
loja cosmeticos naturais;BRL;110;57%;-48%;Alto;100;0,87;2,08;;;;;;110;140;140;140;110;140;140;110;110;70;110;110
loja cosmeticos rio de janeiro;BRL;30;100%;100%;Alto;94;0,68;1,72;;;;;;10;10;30;30;10;30;30;40;40;20;50;40
